Index of Difficulty,Size (px),Distance (px)
4.446256229889564,30,327
Timestamp (s),Position X (px),Position Y (px)
44.23716830002377,1280,800
44.589878499973565,1280,799
44.59185939998133,1280,798
44.59285539999837,1280,797
44.59386490000179,1280,794
44.59518379997462,1280,792
44.59614420001162,1280,790
44.59684600000037,1280,786
44.59819270001026,1280,784
44.59932610002579,1280,783
44.599860800022725,1280,778
44.601211400004104,1280,776
44.6021572999889,1280,774
44.60285399999702,1280,770
44.60518239997327,1280,767
44.60585450002691,1280,762
44.60686260001967,1280,759
44.60816300002625,1281,758
44.60885249997955,1281,755
44.60984659998212,1281,752
44.61116939998465,1281,750
44.61184680002043,1281,748
44.612842399976216,1281,744
44.61414349998813,1281,742
44.61515809997218,1281,740
44.616164100007154,1281,737
44.617193699989,1281,735
44.618317499989644,1281,733
44.618863000010606,1281,730
44.620126500027254,1281,727
44.62085529998876,1282,724
44.62214120000135,1282,722
44.6228531000088,1282,720
44.624168600013945,1282,716
44.62516100000357,1282,713
44.62585489999037,1282,711
44.627153099980205,1282,707
44.628121500019915,1282,705
44.629162100027315,1282,701
44.630176200007554,1282,699
44.6308586000232,1282,696
44.631849900004454,1282,692
44.632867600012105,1282,685
44.634244800021406,1282,682
44.635181199992076,1282,679
44.63614830002189,1282,677
44.637166999978945,1282,674
44.63816989999032,1282,671
44.63887500000419,1282,668
44.640127199993,1282,666
44.640852399985306,1282,663
44.64216599997599,1282,660
44.643181000021286,1282,658
44.64383999997517,1282,655
44.6451715999865,1282,653
44.64616619999288,1282,651
44.64712069998495,1282,647
44.648142600024585,1282,645
44.64905369997723,1282,643
44.64986519998638,1282,639
44.65119409997715,1282,636
44.65215320000425,1282,635
44.653174499981105,1282,631
44.654173300019465,1281,628
44.65485579997767,1281,626
44.65616359998239,1281,623
44.656851799984,1281,620
44.657855800003745,1281,619
44.6590101000038,1280,616
44.66021190001629,1280,613
44.66114049998578,1279,612
44.6621574999881,1279,608
44.663140600023326,1278,606
44.663881100015715,1278,605
44.66485330002615,1278,603
